"cluster","pd","lgd dwt","ead","num ctp","sett","is","acca","cod type","cod stato","lgd pag"
"003116_7",0.0635454776,0.1822418839,150550.553529989,154,3,0.3,0.1096657987,0,0,0.1445654758
"005109_10484",0.0027976946,0.194392398,101271.172441701,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005115_8681",0.0407148977,0.2298021679,54786.3448985676,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"610111_4102",0.0077033492,0.25794818,395.334776372876,12670,10,0.3,0.0002308474,0,0,0.2210017554
"005103_5257",3e-04,0.1829700477,62853.7242202717,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005111_44167",0.0077907016,0.2131025561,15966.3509401866,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005107_44811",0.0010022497,0.1770468884,54578.4005781311,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_53315",0.0010022497,0.1770468884,47177.9145496394,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005111_37642",0.0077907016,0.2131025561,16287.679323806,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_79286",0.0077907016,0.2131025561,25515.9259404778,422315,5,0.3,8.844e-06,0,0,0.1762346968
"022810_2",0.0055448348,0.3578620248,3744704.36280019,1,22,0.5378,0.1863961185,0,0,0.3408620241
"013107_1306",0.0012103061,0.3267171038,77429.2174882734,8186,13,0.3,0.0002087325,0,0,0.2914080305
"612110_49",0.0048918665,0.2812428968,2386.00727242366,197,12,0.3,0.0133735606,0,0,0.2459310722
"005111_109198",0.0077907016,0.2131025561,15487.9884592969,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005117_1816",0.1348372139,0.2285550364,6267.99170613737,54930,5,0.3,9.56534e-05,0,0,0.1926846469
"005109_44611",0.0027976946,0.194392398,27425.7578385476,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"010108_3525",0.0019281772,0.2786608828,79799.7043321101,13454,10,0.3,0.0002467775,0,0,0.2422341411
"618111_151",0.007719065,0.219817149,2550.46424709259,1836,18,0.3,0.0025621799,0,0,0.183266112
"005109_89882",0.0027976946,0.194392398,1700.1905430104,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005109_84345",0.0027976946,0.194392398,23715.5214191592,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005108_43470",0.001698804,0.1845801877,48670.8024013459,418091,5,0.3,1.72258e-05,0,0,0.150151248
"610118_483",0.2836455198,0.2949887637,10432.7635991463,6557,10,0.3,0.0019122075,0,0,0.2614921949
"005108_6471",0.001698804,0.1845801877,21155.2773586557,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005113_64177",0.0192875484,0.2052906677,7815.76727018205,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005110_7783",0.0050928948,0.2066847819,71192.0204674808,286110,5,0.3,3.81605e-05,0,0,0.170589917
"005111_69327",0.0077907016,0.2131025561,15656.9440766458,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005109_36926",0.0027976946,0.194392398,60318.4634155288,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005103_5875",3e-04,0.1829700477,3818.97866154309,401848,5,0.3,4.119e-05,0,0,0.1483535962
"010510_73",0.0051060684,0.3146071923,786693.477756056,184,10,0.3704634746,0.0037937481,0,0,0.2975483576
"005110_1442",0.0050928948,0.2066847819,38769.2514342723,286110,5,0.3,3.81605e-05,0,0,0.170589917
"005116_20927",0.0719020006,0.2380512773,58033.7866057047,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"610109_17961",0.0027198264,0.2444973574,46099.6805730658,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005107_70815",0.0010022497,0.1770468884,46967.2216424852,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"610109_12179",0.0027198264,0.2444973574,63128.4788089014,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005113_74760",0.0192875484,0.2052906677,41894.1164124738,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005103_14033",3e-04,0.1829700477,46130.0652120462,401848,5,0.3,4.119e-05,0,0,0.1483535962
"005107_21186",0.0010022497,0.1770468884,32247.8967335555,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005111_33050",0.0077907016,0.2131025561,47202.6701486444,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005113_85919",0.0192875484,0.2052906677,48961.1192030483,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"017110_29",0.0048477892,0.3656055938,50361.9708491036,654,17,0.3,0.0073232837,0,0,0.3426290215
"005113_28347",0.0192875484,0.2052906677,18389.3397349216,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005111_71108",0.0077907016,0.2131025561,34001.3586483424,422315,5,0.3,8.844e-06,0,0,0.1762346968
"618109_488",0.0027431914,0.206829109,15025.7792196345,4107,18,0.3,0.0012185815,0,0,0.1695262236
"005107_65971",0.0010022497,0.1770468884,42330.3424593148,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005109_4469",0.0027976946,0.194392398,155754.503686865,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"610109_12143",0.0027198264,0.2444973574,5988.79975970237,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005107_61403",0.0010022497,0.1770468884,8306.59152036024,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"128501_0",1e-04,0.7281748521,919878.765203961,2,28,0.5949148063,0.1829989204,0,0,0.6061748415
"005109_89639",0.0027976946,0.194392398,1250.57955066225,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005116_15365",0.0719020006,0.2380512773,74651.1045157993,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005109_45674",0.0027976946,0.194392398,83620.8790915622,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005109_22454",0.0027976946,0.194392398,40480.5756318571,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005106_19672",0.0006999989,0.1701066993,58291.7302209005,288177,5,0.3,4.76813e-05,0,0,0.1366911003
"005113_75818",0.0192875484,0.2052906677,77800.7161103309,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005108_3629",0.001698804,0.1845801877,114172.865211808,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005111_104285",0.0077907016,0.2131025561,61033.5791795609,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_40380",0.0077907016,0.2131025561,6608.44844906941,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005107_99884",0.0010022497,0.1770468884,67924.1937676593,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"013115_218",0.04834372,0.2920708681,145416.030623956,11896,13,0.3,0.0008407892,0,0,0.2736457775
"005109_64530",0.0027976946,0.194392398,85965.5057730337,446020,5,0.3,9.9417e-06,0,0,0.1584937769
